            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
2460330.500000000, A.D. 2024-Jan-21 00:00:00.0000,  1.614191598931738E-02,  1.471090374869135E+08,  2.729669294297828E-03,  2.016290968751990E+02,  2.619736020956153E+02,  2.460314311616329E+06,  1.141612612904271E-05,  1.596746561622204E+01,  1.648636084234701E+01,  1.495226190419920E+08,  1.519362005970706E+08,  3.153433975156925E+07,
2460331.500000000, A.D. 2024-Jan-22 00:00:00.0000,  1.602405242053372E-02,  1.471054859753269E+08,  2.811178150180458E-03,  1.941672886992801E+02,  2.690775107873144E+02,  2.460313959530164E+06,  1.141859112212639E-05,  1.730483595167957E+01,  1.786166137873148E+01,  1.495010994295128E+08,  1.518967128836987E+08,  3.152753226292599E+07,
2460332.500000000, A.D. 2024-Jan-23 00:00:00.0000,  1.594126420497765E-02,  1.471012617335117E+08,  2.962430883417234E-03,  1.864788027888825E+02,  2.763900978570157E+02,  2.460313590069411E+06,  1.142052415108645E-05,  1.865905796070946E+01,  1.925472255148759E+01,  1.494842293277021E+08,  1.518671969218925E+08,  3.152219593754397E+07,
2460333.500000000, A.D. 2024-Jan-24 00:00:00.0000,  1.589522179888180E-02,  1.470965430655906E+08,  3.180609821386575E-03,  1.793574783535170E+02,  2.831393674434723E+02,  2.460313224744005E+06,  1.142187525688349E-05,  2.000863682861727E+01,  2.064370493117189E+01,  1.494724406627452E+08,  1.518483382598997E+08,  3.151846714339162E+07,
2460334.500000000, A.D. 2024-Jan-25 00:00:00.0000,  1.588585847976177E-02,  1.470915537350209E+08,  3.448823750039576E-03,  1.732833050360941E+02,  2.888660578368574E+02,  2.460312883948206E+06,  1.142261942485900E-05,  2.133319102014046E+01,  2.200788542335876E+01,  1.494659486427023E+08,  1.518403435503836E+08,  3.151641375852315E+07,
2460335.500000000, A.D. 2024-Jan-26 00:00:00.0000,  1.591159135695097E-02,  1.470865486532297E+08,  3.742764469637686E-03,  1.684048889904276E+02,  2.934399134500657E+02,  2.460312585715364E+06,  1.142275442311659E-05,  2.261470287004784E+01,  2.332891864132600E+01,  1.494647710118302E+08,  1.518429933704306E+08,  3.151604128610667E+07,
2460336.500000000, A.D. 2024-Jan-27 00:00:00.0000,  1.596960299328059E-02,  1.470817965905346E+08,  4.036939955481849E-03,  1.646581994996236E+02,  2.969399885342564E+02,  2.460312344783074E+06,  1.142229792930028E-05,  2.383845848121666E+01,  2.459178606065830E+01,  1.494687532396728E+08,  1.518557098888110E+08,  3.151730082933086E+07,
2460337.500000000, A.D. 2024-Jan-28 00:00:00.0000,  1.605616182412086E-02,  1.470775630899662E+08,  4.308343369910081E-03,  1.618918890450119E+02,  2.995288263801339E+02,  2.460312172103118E+06,  1.142128395315904E-05,  2.499354163197627E+01,  2.578529632298283E+01,  1.494775996185224E+08,  1.518776361470785E+08,  3.152009892026427E+07,
2460338.500000000, A.D. 2024-Jan-29 00:00:00.0000,  1.616693835039148E-02,  1.470740965862715E+08,  4.537877863406750E-03,  1.599444891544717E+02,  3.013752390150891E+02,  2.460312074822058E+06,  1.141975895320229E-05,  2.607285563127596E+01,  2.690210936331708E+01,  1.494909068614447E+08,  1.519077171366178E+08,  3.152430812903018E+07,
2460339.500000000, A.D. 2024-Jan-30 00:00:00.0000,  1.629726742740212E-02,  1.470716194714589E+08,  4.710493849160359E-03,  1.586789065329640E+02,  3.026201692312751E+02,  2.460312056638881E+06,  1.141777830970027E-05,  2.707276723200230E+01,  2.793837802228306E+01,  1.495081944998103E+08,  1.519447695281618E+08,  3.152977665489902E+07,
2460340.500000000, A.D. 2024-Jan-31 00:00:00.0000,  1.644231566733486E-02,  1.470703240657906E+08,  4.814770211869868E-03,  1.579934872639814E+02,  3.033661892227320E+02,  2.460312118363298E+06,  1.141540387337939E-05,  2.799254985478157E+01,  2.889318505660551E+01,  1.495289258662815E+08,  1.519875276667724E+08,  3.153633493769911E+07,
2460341.500000000, A.D. 2024-Feb-01 00:00:00.0000,  1.659713118523504E-02,  1.470703717910285E+08,  4.842382669856047E-03,  1.578236985941774E+02,  3.036763808225878E+02,  2.460312258471716E+06,  1.141270318574615E-05,  2.883382989164030E+01,  2.976798100676014E+01,  1.495525144931531E+08,  1.520346571952777E+08,  3.154379765607334E+07,
2460342.500000000, A.D. 2024-Feb-02 00:00:00.0000,  1.675657393467766E-02,  1.470718926816256E+08,  4.787741242894552E-03,  1.581419046293367E+02,  3.035749349909769E+02,  2.460312473477804E+06,  1.140975073551433E-05,  2.960021955311995E+01,  3.056620889168479E+01,  1.495783127380449E+08,  1.520847327944643E+08,  3.155196010369038E+07,
2460343.500000000, A.D. 2024-Feb-03 00:00:00.0000,  1.691514621674210E-02,  1.470749817755252E+08,  4.648010664127285E-03,  1.589588776519675E+02,  3.030456876946447E+02,  2.460312757979366E+06,  1.140663131199367E-05,  3.029727414115196E+01,  3.129325682139223E+01,  1.496055820710986E+08,  1.521361823666721E+08,  3.156058876221175E+07,
2460344.500000000, A.D. 2024-Feb-04 00:00:00.0000,  1.706676790695913E-02,  1.470796888672274E+08,  4.423696106473559E-03,  1.603290173784078E+02,  3.020265357905968E+02,  2.460313104299933E+06,  1.140344508743318E-05,  3.093285384226474E+01,  3.195682254189044E+01,  1.496334481987535E+08,  1.521872075302797E+08,  3.156940707301927E+07,
2460345.500000000, A.D. 2024-Feb-05 00:00:00.0000,  1.720457626844910E-02,  1.470859987778902E+08,  4.119928051819983E-03,  1.623604913978663E+02,  3.003985125498443E+02,  2.460313501719553E+06,  1.140031336710029E-05,  3.151789265934220E+01,  3.256769699559948E+01,  1.496608502911248E+08,  1.522357018043594E+08,  3.157807933937236E+07,
2460346.500000000, A.D. 2024-Feb-06 00:00:00.0000,  1.732087910015781E-02,  1.470938013586517E+08,  3.748441594358241E-03,  1.652300641554478E+02,  2.979698732737399E+02,  2.460313935412384E+06,  1.139738285761417E-05,  3.206745267790102E+01,  3.314084908549875E+01,  1.496865031832135E+08,  1.522792050077753E+08,  3.158619873504534E+07,
2460347.500000000, A.D. 2024-Feb-07 00:00:00.0000,  1.740743864664461E-02,  1.471028548698084E+08,  3.329909742708270E-03,  1.691967871549814E+02,  2.944613380814308E+02,  2.460314385406958E+06,  1.139482494826775E-05,  3.260174321746084E+01,  3.369649196760721E+01,  1.497089034209653E+08,  1.523149519721223E+08,  3.159328920228190E+07,
2460348.500000000, A.D. 2024-Feb-08 00:00:00.0000,  1.745626501195176E-02,  1.471127534850476E+08,  2.895626382873418E-03,  1.745904190178310E+02,  2.895172023247108E+02,  2.460314826138881E+06,  1.139282566056235E-05,  3.314653306944701E+01,  3.426055196942907E+01,  1.497264175083637E+08,  1.523400815316798E+08,  3.159883339970554E+07,
2460349.500000000, A.D. 2024-Feb-09 00:00:00.0000,  1.746097348816704E-02,  1.471229171322663E+08,  2.486445655184076E-03,  1.817058055562695E+02,  2.828118410141049E+02,  2.460315227337781E+06,  1.139156322509775E-05,  3.373221875536037E+01,  3.486378389437095E+01,  1.497374792883043E+08,  1.523520414443423E+08,  3.160233524463549E+07,
2460350.500000000, A.D. 2024-Feb-10 00:00:00.0000,  1.741846347494000E-02,  1.471326233106972E+08,  2.145682480155892E-03,  1.904845229549228E+02,  2.743708853274587E+02,  2.460315556814947E+06,  1.139117523707065E-05,  3.439099678562405E+01,  3.553895188041069E+01,  1.497408793483315E+08,  1.523491353859658E+08,  3.160341163293152E+07,
2460351.500000000, A.D. 2024-Feb-11 00:00:00.0000,  1.733031634537583E-02,  1.471410885779884E+08,  1.903911844035415E-03,  2.000059161410922E+02,  2.650847826657943E+02,  2.460315784991206E+06,  1.139172497288692E-05,  3.515232017538476E+01,  3.631623245046994E+01,  1.497360618990090E+08,  1.523310352200296E+08,  3.160188653227008E+07,
2460352.500000000, A.D. 2024-Feb-12 00:00:00.0000,  1.720318964283195E-02,  1.471475830795363E+08,  1.763245688234371E-03,  2.083661419743181E+02,  2.568349052148436E+02,  2.460315889955565E+06,  1.139318132810287E-05,  3.603786117168559E+01,  3.721806500687781E+01,  1.497233014279523E+08,  1.522990197763683E+08,  3.159784696062106E+07,
2460353.500000000, A.D. 2024-Feb-13 00:00:00.0000,  1.704785744968926E-02,  1.471515402213172E+08,  1.700227936844491E-03,  2.135498005887692E+02,  2.516257697024931E+02,  2.460315861232548E+06,  1.139542281606813E-05,  3.705779543471755E+01,  3.825530321930682E+01,  1.497036669959601E+08,  1.522557937706030E+08,  3.159163164111660E+07,
2460354.500000000, A.D. 2024-Feb-14 00:00:00.0000,  1.687723903208304E-02,  1.471526240714096E+08,  1.690440761679028E-03,  2.144826638032775E+02,  2.505334844434548E+02,  2.460315700912448E+06,  1.139826399732027E-05,  3.820972977594627E+01,  3.942604163758848E+01,  1.496787887674709E+08,  1.522049534635321E+08,  3.158375697252106E+07,
2460355.500000000, A.D. 2024-Feb-15 00:00:00.0000,  1.670423212742816E-02,  1.471507403708001E+08,  1.729385942887876E-03,  2.112807083750406E+02,  2.534551635091554E+02,  2.460315422100615E+06,  1.140149180161238E-05,  3.948029348528176E+01,  4.071716945940012E+01,  1.496505376903746E+08,  1.521503350099490E+08,  3.157481549467846E+07,
2460356.500000000, A.D. 2024-Feb-16 00:00:00.0000,  1.654008494121041E-02,  1.471460040619557E+08,  1.831781398020193E-03,  2.050468057842290E+02,  2.593090547979492E+02,  2.460315045770718E+06,  1.140489752110911E-05,  4.084829885729341E+01,  4.210755292483097E+01,  1.496207438746088E+08,  1.520954836872618E+08,  3.156538665373212E+07,
2460357.500000000, A.D. 2024-Feb-17 00:00:00.0000,  1.639358894690768E-02,  1.471386886026332E+08,  2.014830901178819E-03,  1.974770259095994E+02,  2.664247923929663E+02,  2.460314597367548E+06,  1.140829666868414E-05,  4.228813084675663E+01,  4.357147883735173E+01,  1.495910223329066E+08,  1.520433560631800E+08,  3.155598162065707E+07,
2460358.500000000, A.D. 2024-Feb-18 00:00:00.0000,  1.627096002404135E-02,  1.471291780888129E+08,  2.282037802956431E-03,  1.901529426234387E+02,  2.732482841720848E+02,  2.460314104041358E+06,  1.141153657380540E-05,  4.377249553852958E+01,  4.508146056731835E+01,  1.495627069140996E+08,  1.519962357393863E+08,  3.154702240768886E+07,
2460359.500000000, A.D. 2024-Feb-19 00:00:00.0000,  1.617610879334462E-02,  1.471179318603027E+08,  2.620061821305345E-03,  1.839704382935019E+02,  2.789109947758520E+02,  2.460313592764000E+06,  1.141449578861354E-05,  4.527428705151385E+01,  4.661014972685919E+01,  1.495368563166963E+08,  1.519557807730899E+08,  3.153884382340532E+07,
2460360.500000000, A.D. 2024-Feb-20 00:00:00.0000,  1.611103786107997E-02,  1.471054615851415E+08,  3.005691621021441E-03,  1.791482348091509E+02,  2.832202308069221E+02,  2.460313089162489E+06,  1.141707985561074E-05,  4.676774266483763E+01,  4.813151918111909E+01,  1.495142920043969E+08,  1.519231224236524E+08,  3.153170552828217E+07,
2460361.500000000, A.D. 2024-Feb-21 00:00:00.0000,  1.607621544888998E-02,  1.470923159454004E+08,  3.413242915505638E-03,  1.755464906934141E+02,  2.863397893233022E+02,  2.460312616775325E+06,  1.141921661362603E-05,  4.822918254789285E+01,  4.962161681930422E+01,  1.494956400637347E+08,  1.518989641820691E+08,  3.152580533155212E+07,
2460362.500000000, A.D. 2024-Feb-22 00:00:00.0000,  1.607087414292012E-02,  1.470790672838751E+08,  3.818427219092234E-03,  1.729231231698943E+02,  2.885330659224810E+02,  2.460312196491630E+06,  1.142085258503435E-05,  4.963757359139225E+01,  5.105913490347560E+01,  1.494813634627978E+08,  1.518836596417205E+08,  3.152128944136241E+07,
2460363.500000000, A.D. 2024-Feb-23 00:00:00.0000,  1.609324185477713E-02,  1.470662962272852E+08,  4.199654324999817E-03,  1.710497684212477E+02,  2.900465900940238E+02,  2.460311846057279E+06,  1.142195078178630E-05,  5.097503158142240E+01,  5.242591404118235E+01,  1.494717817616397E+08,  1.518772672959943E+08,  3.151825873510715E+07,
2460364.500000000, A.D. 2024-Feb-24 00:00:00.0000,  1.614073323987900E-02,  1.470545729516999E+08,  4.538304721769248E-03,  1.697439955973819E+02,  2.910773715711226E+02,  2.460311579648286E+06,  1.142248959177139E-05,  5.222725919801425E+01,  5.370738245572504E+01,  1.494670812381075E+08,  1.518795895245152E+08,  3.151677198807334E+07,
2460365.500000000, A.D. 2024-Feb-25 00:00:00.0000,  1.621012660674595E-02,  1.470444363392381E+08,  4.818744745197805E-03,  1.688689202405943E+02,  2.917729813957540E+02,  2.460311407579808E+06,  1.142246216144283E-05,  5.338384901558285E+01,  5.489286114875076E+01,  1.494673205285774E+08,  1.518902047179168E+08,  3.151684767363035E+07,
2460366.500000000, A.D. 2024-Feb-26 00:00:00.0000,  1.629773634820083E-02,  1.470363739633948E+08,  5.028309533519956E-03,  1.683242491793954E+02,  2.922404133111426E+02,  2.460311336226077E+06,  1.142187575444025E-05,  5.443837389190745E+01,  5.597565728252097E+01,  1.494724363218923E+08,  1.519084986803897E+08,  3.151846577039241E+07,
2460367.500000000, A.D. 2024-Feb-27 00:00:00.0000,  1.639957426111826E-02,  1.470308061012795E+08,  5.157264301763251E-03,  1.680371675998003E+02,  2.925553473849498E+02,  2.460311368181459E+06,  1.142075082582530E-05,  5.538823311998678E+01,  5.695291317383499E+01,  1.494822513835634E+08,  1.519336966658472E+08,  3.152157029693230E+07,
2460368.500000000, A.D. 2024-Feb-28 00:00:00.0000,  1.651148184609361E-02,  1.470280757486377E+08,  5.198720102674123E-03,  1.679552057188340E+02,  2.927696376521083E+02,  2.460311502620360E+06,  1.141911989144244E-05,  5.623429636308123E+01,  5.782525169297762E+01,  1.494964842341243E+08,  1.519648927196109E+08,  3.152607236130223E+07,
2460369.500000000, A.D. 2024-Feb-29 00:00:00.0000,  1.662921315576256E-02,  1.470284443677304E+08,  5.148519557713085E-03,  1.680411844436186E+02,  2.929168126610707E+02,  2.460311735744465E+06,  1.141702657908170E-05,  5.698045792182776E+01,  5.859632980124140E+01,  1.495147571340446E+08,  1.520010699003587E+08,  3.153185266815379E+07,
2460370.500000000, A.D. 2024-Mar-01 00:00:00.0000,  1.674845387261011E-02,  1.470320905800565E+08,  5.005165324004746E-03,  1.682698579232587E+02,  2.930158145031126E+02,  2.460312061162761E+06,  1.141452543612495E-05,  5.763325773153394E+01,  5.927245672738270E+01,  1.495365973836028E+08,  1.520411041871491E+08,  3.153876190600652E+07,
2460371.500000000, A.D. 2024-Mar-02 00:00:00.0000,  1.686477507627510E-02,  1.470391069268389E+08,  4.769910326676324E-03,  1.686258877512185E+02,  2.930731761228678E+02,  2.460312470042221E+06,  1.141168308900535E-05,  5.820173316822722E+01,  5.986244219761924E+01,  1.495614267490484E+08,  1.520837465712579E+08,  3.154661737380737E+07,
2460372.500000000, A.D. 2024-Mar-03 00:00:00.0000,  1.697353822093995E-02,  1.470494886496316E+08,  4.447147105929672E-03,  1.691029363983058E+02,  2.930837108336435E+02,  2.460312950894566E+06,  1.140858117013566E-05,  5.869763737468828E+01,  6.037781317086086E+01,  1.495885353721858E+08,  1.521275820947401E+08,  3.155519469347995E+07,
2460373.500000000, A.D. 2024-Mar-04 00:00:00.0000,  1.706979189327570E-02,  1.470631086073518E+08,  4.045207587595573E-03,  1.697038463180322E+02,  2.930296738438064E+02,  2.460313488928970E+06,  1.140532098806920E-05,  5.913609361303291E+01,  6.083347277899527E+01,  1.496170403498109E+08,  1.521709720922700E+08,  3.156421466582012E+07,
